T_or_V,label,Chamber_temp,voltage_mV,power_mean,power_SD,power_iqr,power_skew,power_kurtosis,x_mean,x_SD,x_IQR,x_skew,x_kurtosis,y_mean,y_SD,y_IQR,y_skew,y_kurtosis,z_mean,z_SD,z_IQR,z_skew,z_kurtosis,board_temp_mean,board_temp_SD,board_temp_iqr,board_temp_skew,board_temp_kurtosis
T,2,18,2100,0.0566562545137,0.0265041523903,0.05509978,0.5184101114041487,-1.5077160111377113,-0.0271385616102,0.00397833774038,0.00515463917526,0.04733986985982223,-0.17910175543959772,0.0245796514482,0.0046455255319,0.00618556701031,0.1919368832310216,-0.23002825517444236,1.01084621993,0.00442771137972,0.00618556701031,0.17428806793293602,-0.23443140939715956,16.8511904762,0.235024845505,0.5,-1.0562444339390868,-0.4376047374984924
T,2,18,2100,0.0566577870324,0.0264459466504,0.05564341,0.5183424207694345,-1.5006066955784074,-0.0261522134627,0.00432680739558,0.00515463917526,0.0016493813147786729,0.2400909561682445,0.017710733778,0.00435955933251,0.00541237113402,-0.11891577712312285,0.027246886081599975,1.01115827774,0.00503419370924,0.00721649484536,0.006012340648683868,-0.24932709324190183,16.8279411765,0.243652107483,0.5,-0.8081230944592831,-0.9604693750463182
T,2,18,2100,0.0566214169576,0.02643577422,0.05539775,0.5153342576329966,-1.498509671053493,-0.0263692485479,0.00404180683685,0.00515463917526,-0.313503919306651,0.15946301860049683,0.0175105677706,0.00462502149226,0.00618556701031,-0.030483989235164724,0.21668401152469707,1.01111212481,0.00515263382202,0.00721649484536,-0.034747437190956326,-0.2941247842901924,16.8908554572,0.213564024772,0.0,-1.5888818782103715,1.156595918245781
T,2,18,2100,0.0566161022195,0.0264665369804,0.05589612,0.5211339120975019,-1.4978987013946172,-0.0264716647349,0.00396108007738,0.00515463917526,0.10411966396306639,0.6035927937082413,0.0177545293723,0.00441120895238,0.00618556701031,-0.4433730484041398,0.8693026272092994,1.01138595742,0.00521055933551,0.00798969072165,0.014148226952754858,0.3549467524984493,16.6449704142,0.233296733772,0.5,0.7501162322526999,-0.963498464340693
T,2,18,2100,0.0567094728928,0.0264525781709,0.05530549,0.5230014993967177,-1.4988314923970494,-0.0783138058674,0.00438666238267,0.00618556701031,-0.06092675217016579,0.17491945432974942,0.160934871058,0.00451022665571,0.00618556701031,0.004978130916711613,-0.33571696209270163,1.00071583713,0.00549419101975,0.00721649484536,-0.12395811741361373,-0.1300920522397946,16.9851632047,0.0848426021098,0.0,-5.543517028002643,28.7305810397553
T,2,18,2100,0.0568070514464,0.0263683508734,0.05527,0.5146966187975605,-1.497895533374616,-0.0782281501422,0.00404075926165,0.00515463917526,0.010146863954136788,0.640605596472521,0.16111841904,0.00452366654439,0.00618556701031,-0.23064786691890765,-0.06178781074187656,1.0006760684,0.00532528903161,0.00721649484536,-0.011941639108669976,0.152729420532435,17.0623145401,0.173900911951,0.0,1.8412525297496318,2.9022214196289218
T,2,18,2100,0.0566807913217,0.0263753080741,0.0549802,0.5158353368232809,-1.4976725754315128,-0.078133317018,0.00421674609181,0.00618556701031,0.13617551220932328,-0.0424760083973319,0.160950166723,0.00455470906858,0.00618556701031,0.20884643220331284,0.07375491936138001,1.0010095139,0.00501252741396,0.00618556701031,-0.015864963620418483,0.040828190068248116,17.0816023739,0.192638517877,0.0,1.506911211553897,1.2834822919326072
T,2,18,2100,0.056717134015,0.0264174377102,0.05496883,0.5224188533543179,-1.4994872016413505,-0.078353556549,0.00433678348894,0.00618556701031,-0.1063530799022268,-0.08800513150968925,0.160718304291,0.00472841299038,0.00618556701031,0.24624182445222836,-0.025209800029961205,1.00092448986,0.00491757465048,0.00618556701031,0.07769026885745012,-0.25544552605779236,17.0324483776,0.134614798927,0.0,2.5883378183218273,8.750002176140455
T,2,18,2100,0.056823049601,0.0263534593227,0.05519073,0.5161611397160373,-1.498816900484663,-0.0782181874134,0.00441769462173,0.00618556701031,-0.08757506203610316,0.174738480581206,0.160584705339,0.004469939371,0.00618556701031,0.06457512213001815,0.11192677259440531,1.00116325589,0.0050213512323,0.00618556701031,0.24272662996008856,-0.16712634485483902,17.0358208955,0.140044228128,0.0,2.4763917401411293,7.650517628495251
V,2,20,2100,0.056718251995,0.026376672856,0.05572195,0.5192809139142489,-1.5000303195564613,-0.0265601171232,0.00451293466609,0.00618556701031,0.005093484272752896,-0.11306214021598127,0.0287500762521,0.00460079824934,0.00721649484536,0.03458286481830578,-0.4861122441157555,1.01238333435,0.00494477710382,0.00618556701031,0.15486378439249499,-0.03852301222911381,19.0325443787,0.123341204649,0.0,3.526082332674703,10.433256616800767
V,2,20,2100,0.0567930826185,0.0263060412564,0.05579243,0.5096657172954994,-1.503780404688456,-0.0261352479136,0.00418559343176,0.00515463917526,0.1406974998057193,0.12950178709450988,0.0289733676976,0.00456264057448,0.00618556701031,0.05273184767302835,0.14306245422020325,1.01301239568,0.00473467040952,0.00618556701031,-0.11701833015157743,-0.17807920513744202,19.0,0.0,0.0,0.0,-3.0
V,2,20,2100,0.0567000952868,0.0263220826544,0.0553493,0.5198324754917423,-1.4967394937365568,-0.0262780784231,0.00419832061103,0.00515463917526,-0.014427166930065956,-0.0391238557299296,0.0285394685129,0.00467416163292,0.00721649484536,0.13476718651128766,-0.021404877485111218,1.01253136621,0.00496484097122,0.00618556701031,-0.19612444319166866,-0.015208835528211395,19.0,0.0,0.0,0.0,-3.0
V,2,20,2100,0.0567852454115,0.0263298393036,0.05583432,0.513208675884791,-1.5040998455829244,-0.0263311097635,0.00417659522686,0.00515463917526,-0.324493293281545,0.4097488022686444,0.0279502728927,0.00470897989995,0.00618556701031,0.08126086802585675,-0.02553026167071959,1.01238023044,0.00529906036873,0.00721649484536,-0.0818825275535103,-0.11241503152569265,18.9970588235,0.0382352941176,0.0,-12.923076923076854,165.00591715976208
V,2,20,2100,0.0567883694264,0.0263202787506,0.054826,0.5129150608211044,-1.5023639593399989,-0.0267705728055,0.00425234098223,0.00618556701031,0.007906176348578035,-0.3398371897269614,0.0283047642286,0.00512951674582,0.00721649484536,0.118033142447526,0.027319437522455914,1.01288354786,0.00494049699441,0.00721649484536,0.08837745265346238,-0.243789466054666,19.0,0.0,0.0,0.0,-3.0
